Hypoxic volume 2;Hypoxic volume 0;T BY15 Annual. 30-90 m;T BY15 Q4. 30-90 m;BY15 Q4 salinitet 30_90m;Mean annual sal BY15 30_90 m ;Decade_ox;Cal_Year;O sat 30-90m BY15
;;;;;;1920s;1928;75.5580079973979
;;;;;;1920s;1929;
;;;;;;1930s;1930;74.4980798534697
;;;;;;1930s;1931;78.6389620553744
;;;;;;1930s;1932;69.7359448380239
;;;;;;1930s;1933;83.2568073078063
;;;;;;1930s;1934;
;;;;;;1930s;1935;
;;;;;;1930s;1936;78.3447219150172
;;;;;;1930s;1937;80.7397454861275
;;;;;;1930s;1938;84.6316455893695
;;;;;;1930s;1939;75.7823906783687
;;;;;;1940s;1940;
;;;;;;1940s;1941;
;;;;;;1940s;1942;
;;;;;;1940s;1943;
;;;;;;1940s;1944;
;;;;;;1940s;1945;
;;;;;;1940s;1946;
;;;;;;1940s;1947;
;;;;;;1940s;1948;
;;;;;;1940s;1949;
;;;;;;1950s;1950;
;;;;;;1950s;1951;
;;;;;;1950s;1952;
;;;;;;1950s;1953;
;;;;;;1950s;1954;
;;;;;;1950s;1955;68.6939908516483
;;;;;;1950s;1956;68.4411344658523
;;;;;;1950s;1957;92.8331387189044
;;;;;;1950s;1958;75.3339165835085
;;;;;;1950s;1959;75.9826397530715
1299;117;3.16720833333333;3.72380952380952;;;1960s;1960;66.4454592028085
;;4.9135238095238;7.06285714285713;;;1960s;1961;72.2833394512889
1850;45;4.42617103729604;5.848;;;1960s;1962;68.5801432624467
1850;252;3.15623214285714;4.17333333333333;8.29714285714286;8.29666666666667;1960s;1963;56.1705489675331
2238;298;3.27809005067812;4.27214285714286;8.66285714285714;8.56214285714286;1960s;1964;71.9034538198264
2698;406;3.71558928571428;4.73238095238095;8.48428571428571;8.40486486486486;1960s;1965;71.5660724011889
2454;144;4.21044444444444;5.04585714285714;8.75142857142857;8.84333333333334;1960s;1966;65.2122490666254
;;4.21080952380952;5.26190476190476;8.71571428571429;8.82619047619048;1960s;1967;64.8749666329909
2545;523;4.10482986975277;4.88816326530612;8.48357142857143;8.68628571428571;1960s;1968;61.8331974750017
2644;1102;3.75078031865314;5.26917965367965;8.41466666666667;8.0220202020202;1960s;1969;53.6495856702932
2508;306;3.62842610828968;4.85658163265306;8.69914285714286;8.22751639344262;1970s;1970;57.1034030655755
