Fish_ID;Capture_Year;Capture_Qtr;Year_Class;Age_Capture;Decades;Decade;ICES_SD;TL_mm;Oto_Dors_L;Age;Ages;New L_age;Cal_Year;Annulus_Width;Cum_Ann_Width;Avg_MnMg06;Mg ESF06;Avg_SrCa;New_Salinity_class;SMHI year;SMHI hypox;Decade_anox_ch;Decade_anox;Year_hyp;Hypoxic volume 2;Hypoxic volume 0;Temp_year;T BY15 Annual. 30-90 m;T BY15 Q4. 30-90 m;BY15 Q4 salinitet 30_90m;Mean annual sal BY15 30_90 m ;O sat year;Neo year;Neo mean MnMg
1988 Q1 SD 28 nr 714;1988;1;1978;10;1980s;1980s;28;1110;7409;0;1;180.3859981;1978;1190;1190;0.458686385;0.055863897;3.322247816;2;;;;;;;;;;;;;;;
1 SD25 1949;1949;2;1945;4;1940s;1940s;25;310;3433;1;2;138.629272567923;1946;959;1516;0.505288736;0.041107778;3.994191591;2;;;;;;;;;;;;;;;
1 SD25 1949;1949;2;1945;4;1940s;1940s;25;310;3433;2;3;215.062226117441;1947;855;2371;0.295748808;0.045423086;6.864128462;4;;;;;;;;;;;;;;;
1 SD25 1949;1949;2;1945;4;1940s;1940s;25;310;3433;3;4;310;1948;1062;3433;0.199738959;0.048634555;8.797581596;4;;;;;;;;;;;;;;;
1939 SD25 508;1939;2;1927;12;1930s;1930s;25;1040;7571;0;1;123.0694353;1927;879;879;0.397803498;0.045140367;3.547064948;2;;;;;;;;;;;;;;;
10 SD25 1949;1949;2;1944;5;1940s;1940s;25;440;4040;1;2;239.093796526055;1945;1555;2183;0.293705488;0.053710111;4.123063706;3;;;;;;;;;;;;;;;
10 SD25 1949;1949;2;1944;5;1940s;1940s;25;440;4040;2;3;326.726550868486;1946;810;2993;0.172244713;0.044397054;5.232402352;4;;;;;;;;;;;;;;;
10 SD25 1949;1949;2;1944;5;1940s;1940s;25;440;4040;4;5;440;1948;398;4040;0.286271843;0.035956089;8.160161529;4;;;;;;;;;;;;;;;
10 SD25 1949;1949;2;1944;5;1940s;1940s;25;440;4040;3;4;396.94094292804;1947;649;3642;0.486900248;0.038875432;9.23023792;4;;;;;;;;;;;;;;;
1989_SD25_204;1989;1;1976;13;1980s;1980s;25;980;6697;0;1;190.0924181;1976;1285;1285;0.791859834;0.064161834;3.793741646;2;;;;;;;;;;;;;;;
1001 SD25 1939;1939;2;1934;5;1930s;1930s;25;740;4658;3;4;637.074010327022;1937;834;4008;0.082193849;0.069055262;3.600349223;2;;;;;;;;;;;;;;;
1001 SD25 1939;1939;2;1934;5;1930s;1930s;25;740;4658;4;5;740;1938;650;4658;0.103556338;0.049245108;3.633414895;2;;;;;;;;;;;;;;;
1001 SD25 1939;1939;2;1934;5;1930s;1930s;25;740;4658;1;2;394.168674698795;1935;1271;2474;0.294795986;0.059137721;3.855996695;2;;;;;;;;;;;;;;;
1001 SD25 1939;1939;2;1934;5;1930s;1930s;25;740;4658;2;3;505.012048192771;1936;700;3174;0.113824702;0.054451941;4.233569248;3;;;;;;;;;;;;;;;
Hypoxolith_C88_07_1639;1995;4;1988;7;1990s;1990s;25;973;5696;0;1;139.9940204;1988;808;808;1.378732443;0.048881984;2.423773181;1;;;;;;;;;;;;;;;
101 SD28 1948;1948;2;1944;4;1940s;1940s;28;420;4203;2;3;333.387073694252;1946;778;3330;0.081252822;0.048478055;3.562840401;2;;;;;;;;;;;;;;;
101 SD28 1948;1948;2;1944;4;1940s;1940s;28;420;4203;1;2;256.199379918912;1945;1853;2552;0.222152072;0.054744586;3.688330554;2;;;;;;;;;;;;;;;
101 SD28 1948;1948;2;1944;4;1940s;1940s;28;420;4203;3;4;408.094443119485;1947;753;4083;0.086568421;0.047547929;3.793527039;2;;;;;;;;;;;;;;;
1939 SD25 509;1939;2;1930;9;1930s;1930s;25;950;7370;0;1;136.9027174;1930;1044;1044;0.544342405;0.044094579;2.957208362;1;;;;;;;;;;;;;;;
1017_Sd25_Q4_46;2017;4;2016;2;2010s;2010s;25;186;1668;1;2;186;2017;822;1668;1.277654507;0.062160191;3.608381921;2;;;;;;;;;;;;;;;
1988_SD28_803;1988;1;1980;8;1980s;1980s;28;950;6724;0;1;179.4200179;1980;1255;1255;0.401851966;0.043432313;2.68132553;1;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;3;4;449.363493928711;1941;806;3231;0.232163146;0.056891652;3.977393535;2;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;1;2;219.560908734822;1939;799;1569;0.523561676;0.040368723;4.210042072;3;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;2;3;337.918918918919;1940;856;2425;0.411758422;0.058740109;4.309394655;3;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;4;5;566.062279670975;1942;844;4075;0.152079466;0.051560611;4.484174896;3;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;5;6;623.028985507246;1943;412;4487;0.142038746;0.035066448;4.532989364;3;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;8;9;710;1946;178;5116;0.201454411;0.016614376;5.810193071;4;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;6;7;659.393654524089;1944;263;4750;0.111759365;0.026397596;6.084742967;4;;;;;;;;;;;;;;;
102 SD28 1948;1948;2;1938;9;1940s;1940s;28;710;5116;7;8;685.388170779475;1945;188;4938;0.352269474;0.018553204;7.559025199;4;;;;;;;;;;;;;;;
SD25_1995_CAP-385;1995;1;1987;8;1990s;1990s;25;942;6317;0;1;162.9060954;1987;1120;1120;0.679292356;0.057702607;2.97658409;1;;;;;;;;;;;;;;;
103 SD28 1940s;1948;2;1942;6;1940s;1940s;28;620;5652;2;3;438.977667493797;1944;1324;3994;0.232162089;0.05810148;3.429347918;2;;;;;;;;;;;;;;;
103 SD28 1940s;1948;2;1942;6;1940s;1940s;28;620;5652;3;4;500.992555831266;1945;568;4562;0.193896543;0.056298026;3.443694522;2;;;;;;;;;;;;;;;
103 SD28 1940s;1948;2;1942;6;1940s;1940s;28;620;5652;4;5;572.287841191067;1946;653;5215;0.114562075;0.060493767;3.447250871;2;;;;;;;;;;;;;;;
103 SD28 1940s;1948;2;1942;6;1940s;1940s;28;620;5652;1;2;294.421836228288;1943;1790;2670;0.383149342;0.080227738;4.008604957;2;;;;;;;;;;;;;;;
103 SD28 1940s;1948;2;1942;6;1940s;1940s;28;620;5652;5;6;620;1947;437;5652;0.069558676;0.065982362;4.046512136;2;;;;;;;;;;;;;;;
T-10397 SD25 1971;1971;2;1962;9;1960s;1960s;25;910;6468;0;1;172.4896253;1962;1211;1211;0.338775989;0.058091682;2.899127996;1;;;;;;;;;;;;;;;
104 SD28 1948;1948;2;1942;5;1940s;1940s;28;440;4448;1;2;228.680486705723;1943;1317;2297;0.233741643;0.072920801;4.244624964;3;;;;;;;;;;;;;;;
104 SD28 1948;1948;2;1942;5;1940s;1940s;28;440;4448;2;3;297.744930148716;1944;703;3000;0.323079091;0.07689164;5.127072002;4;;;;;;;;;;;;;;;
104 SD28 1948;1948;2;1942;5;1940s;1940s;28;440;4448;4;5;424.281207751239;1946;532;4288;0.165623398;0.042522472;5.364717584;4;;;;;;;;;;;;;;;
104 SD28 1948;1948;2;1942;5;1940s;1940s;28;440;4448;3;4;372.01622352411;1945;756;3756;0.424284304;0.043178037;5.933080547;4;;;;;;;;;;;;;;;
1939_SD25_519;1939;2;1930;9;1930s;1930s;25;900;6303;0;1;160.4760845;1930;1109;1109;0.654588906;0.043819909;3.453362329;2;;;;;;;;;;;;;;;
107 SD25 1989;1989;1;1985;4;1980s;1980s;25;530;5087;1;2;241.979515461887;1986;1001;2307;0.44286163;0.097621199;3.866659136;2;;;;;;;;;;;;;;;
